Format,Type,team_name,player_id,player_name,average_pts,average_minutes,overall_average_ppp,element_name,percentage_of_time,type_ppp,field_goal_percentage
Defensive,Weakness,WheatonIL,211,Zack_Kvam,2.576923077,16.92307692,0.82,Off Screen,0.203,1.192,0.462
Defensive,Weakness,GustavusAdolphus,312,Zach_Bloemker,6.047619048,15.80952381,0.787,Hand Off,0.067,1,0.75
Defensive,Weakness,GustavusAdolphus,312,Zach_Bloemker,6.047619048,15.80952381,0.787,Isolation,0.079,1,0.667
Defensive,Weakness,GustavusAdolphus,312,Zach_Bloemker,6.047619048,15.80952381,0.787,Post-Up,0.022,1,0
Defensive,Weakness,GustavusAdolphus,312,Zach_Bloemker,6.047619048,15.80952381,0.787,Spot Up,0.416,0.838,0.344
Defensive,Weakness,WheatonIL,212,Zac_Holman,1.090909091,5.363636364,0.923,Spot Up,0.538,1,0.333
Defensive,Weakness,WheatonIL,212,Zac_Holman,1.090909091,5.363636364,0.923,Hand Off,0.154,1.5,0.5
Defensive,Weakness,NorthPark,250,Vegard_Tangen,3.695652174,15.91304348,1.118,P&R Roll Man,0.015,3,1
Defensive,Weakness,NorthPark,250,Vegard_Tangen,3.695652174,15.91304348,1.118,Post-Up,0.485,1.212,0.615
Defensive,Weakness,NorthPark,250,Vegard_Tangen,3.695652174,15.91304348,1.118,Off Screen,0.029,1.5,0.5
Defensive,Weakness,GustavusAdolphus,311,Vannis_Smith,8.416666667,21.45833333,0.942,Isolation,0.038,1,0.5
Defensive,Weakness,GustavusAdolphus,311,Vannis_Smith,8.416666667,21.45833333,0.942,Spot Up,0.462,1.111,0.435
Defensive,Weakness,GustavusAdolphus,311,Vannis_Smith,8.416666667,21.45833333,0.942,Hand Off,0.038,1,0.4
Defensive,Weakness,WheatonIL,210,Tyrel_Derrick,1.285714286,4.5,1.333,Off Screen,0.048,2,
Defensive,Weakness,WheatonIL,210,Tyrel_Derrick,1.285714286,4.5,1.333,Spot Up,0.524,1.455,0.625
Defensive,Weakness,WheatonIL,210,Tyrel_Derrick,1.285714286,4.5,1.333,Hand Off,0.048,2,1
Defensive,Weakness,Knox,136,Tyre_Dukes,1.4,10.2,0.844,P&R Ball Handler,0.219,1.286,0.8
Defensive,Weakness,Knox,136,Tyre_Dukes,1.4,10.2,0.844,Hand Off,0.094,2,0.667
Defensive,Weakness,Knox,136,Tyre_Dukes,1.4,10.2,0.844,Isolation,0.063,2,1
Defensive,Weakness,Fontbonne,118,Tristan_Baker,9.1875,18.0625,1.118,P&R Roll Man,0.059,1.25,0.5
Defensive,Weakness,Fontbonne,118,Tristan_Baker,9.1875,18.0625,1.118,Spot Up,0.426,1.379,0.519
Defensive,Weakness,Rose-Hulman,298,Trey_Sykes,1.65,3.9,0.304,Post-Up,0.043,1,
Defensive,Weakness,Rose-Hulman,298,Trey_Sykes,1.65,3.9,0.304,Spot Up,0.478,0.364,0
Defensive,Weakness,Rose-Hulman,298,Trey_Sykes,1.65,3.9,0.304,P&R Ball Handler,0.174,0.5,0
Defensive,Weakness,WheatonIL,209,Trevor_Gunter,4.666666667,17.79166667,1,Post-Up,0.51,1.12,0.619
Defensive,Weakness,WheatonIL,209,Trevor_Gunter,4.666666667,17.79166667,1,P&R Ball Handler,0.02,1.5,1
Defensive,Weakness,WheatonIL,209,Trevor_Gunter,4.666666667,17.79166667,1,Isolation,0.051,1.2,0.333
Defensive,Weakness,MSOE,166,Travis_Ballard,5.653846154,11.34615385,0.711,Post-Up,0.566,0.744,0.419
Defensive,Weakness,MSOE,166,Travis_Ballard,5.653846154,11.34615385,0.711,P&R Ball Handler,0.013,2,
Defensive,Weakness,MSOE,166,Travis_Ballard,5.653846154,11.34615385,0.711,P&R Roll Man,0.092,0.857,0.429
Defensive,Weakness,NorthPark,249,Toby_Marek,2.75,11.75,0.917,Post-Up,0.083,1,1
Defensive,Weakness,NorthPark,249,Toby_Marek,2.75,11.75,0.917,Isolation,0.083,1,1
Defensive,Weakness,NorthPark,249,Toby_Marek,2.75,11.75,0.917,Spot Up,0.472,1,0.353
Defensive,Weakness,NorthPark,249,Toby_Marek,2.75,11.75,0.917,Hand Off,0.111,1.25,1
Defensive,Weakness,NorthPark,249,Toby_Marek,2.75,11.75,0.917,P&R Ball Handler,0.139,1,0.667
Defensive,Weakness,Carthage,32,Tj_Best,1.25,7.6875,0.633,P&R Ball Handler,0.467,0.786,0.5
