Format,Type,team_name,player_id,player_name,average_pts,average_minutes,overall_average_ppp,element_name,percentage_of_time,type_ppp,field_goal_percentage
Offensive,Strength,WheatonIL,211,Zack_Kvam,2.576923077,16.92307692,0.736,Transition,0.187,1.412,0.75
Offensive,Strength,WheatonIL,211,Zack_Kvam,2.576923077,16.92307692,0.736,Spot Up,0.352,0.938,0.37
Offensive,Strength,WheatonIL,211,Zack_Kvam,2.576923077,16.92307692,0.736,Hand Off,0.011,2,1
Offensive,Strength,WheatonIL,211,Zack_Kvam,2.576923077,16.92307692,0.736,Offensive Rebounds (put backs),0.011,2,
Offensive,Strength,GustavusAdolphus,312,Zach_Bloemker,6.047619048,15.80952381,0.777,Spot Up,0.51,0.95,0.403
Offensive,Strength,WheatonIL,212,Zac_Holman,1.090909091,5.363636364,0.765,Offensive Rebounds (put backs),0.059,2,
Offensive,Strength,WheatonIL,212,Zac_Holman,1.090909091,5.363636364,0.765,Spot Up,0.529,1.222,0.5
Offensive,Strength,NorthPark,250,Vegard_Tangen,3.695652174,15.91304348,0.842,Transition,0.069,1.143,0.5
Offensive,Strength,NorthPark,250,Vegard_Tangen,3.695652174,15.91304348,0.842,Off Screen,0.03,1,0.333
Offensive,Strength,NorthPark,250,Vegard_Tangen,3.695652174,15.91304348,0.842,Post-Up,0.059,1,0.5
Offensive,Strength,NorthPark,250,Vegard_Tangen,3.695652174,15.91304348,0.842,Spot Up,0.376,1.053,0.429
Offensive,Strength,NorthPark,250,Vegard_Tangen,3.695652174,15.91304348,0.842,Hand Off,0.02,2.5,1
Offensive,Strength,NorthPark,250,Vegard_Tangen,3.695652174,15.91304348,0.842,Offensive Rebounds (put backs),0.04,1,0.667
Offensive,Strength,GustavusAdolphus,311,Vannis_Smith,8.416666667,21.45833333,0.784,P&R Roll Man,0.012,1.667,0.5
Offensive,Strength,GustavusAdolphus,311,Vannis_Smith,8.416666667,21.45833333,0.784,Off Screen,0.097,0.8,0.375
Offensive,Strength,GustavusAdolphus,311,Vannis_Smith,8.416666667,21.45833333,0.784,Isolation,0.1,0.923,0.455
Offensive,Strength,GustavusAdolphus,311,Vannis_Smith,8.416666667,21.45833333,0.784,Cut,0.081,1.143,0.571
Offensive,Strength,GustavusAdolphus,311,Vannis_Smith,8.416666667,21.45833333,0.784,Spot Up,0.297,0.844,0.357
Offensive,Strength,WheatonIL,210,Tyrel_Derrick,1.285714286,4.5,1.062,Spot Up,0.313,1.6,0.75
Offensive,Strength,WheatonIL,210,Tyrel_Derrick,1.285714286,4.5,1.062,Isolation,0.063,2,1
Offensive,Strength,Knox,136,Tyre_Dukes,1.4,10.2,0.568,Off Screen,0.081,0.667,0.5
Offensive,Strength,Knox,136,Tyre_Dukes,1.4,10.2,0.568,Offensive Rebounds (put backs),0.027,1,
Offensive,Strength,Knox,136,Tyre_Dukes,1.4,10.2,0.568,Isolation,0.081,0.667,0.333
Offensive,Strength,Knox,136,Tyre_Dukes,1.4,10.2,0.568,Transition,0.243,1.111,0.8
Offensive,Strength,Knox,136,Tyre_Dukes,1.4,10.2,0.568,Spot Up,0.162,1,0.4
Offensive,Strength,Fontbonne,118,Tristan_Baker,9.1875,18.0625,1.144,P&R Ball Handler,0.016,2,1
Offensive,Strength,Fontbonne,118,Tristan_Baker,9.1875,18.0625,1.144,Offensive Rebounds (put backs),0.088,1.545,0.667
Offensive,Strength,Fontbonne,118,Tristan_Baker,9.1875,18.0625,1.144,Isolation,0.04,1.2,0.333
Offensive,Strength,Fontbonne,118,Tristan_Baker,9.1875,18.0625,1.144,Transition,0.288,1.528,0.792
Offensive,Strength,Fontbonne,118,Tristan_Baker,9.1875,18.0625,1.144,Cut,0.096,1.417,0.667
Offensive,Strength,Rose-Hulman,298,Trey_Sykes,1.65,3.9,0.912,P&R Ball Handler,0.265,1.333,0.8
Offensive,Strength,Rose-Hulman,298,Trey_Sykes,1.65,3.9,0.912,Isolation,0.059,2,1
Offensive,Strength,Rose-Hulman,298,Trey_Sykes,1.65,3.9,0.912,Cut,0.029,2,1
Offensive,Strength,Rose-Hulman,298,Trey_Sykes,1.65,3.9,0.912,Transition,0.059,1,1
Offensive,Strength,WheatonIL,209,Trevor_Gunter,4.666666667,17.79166667,1.04,Post-Up,0.05,1.4,0.75
Offensive,Strength,WheatonIL,209,Trevor_Gunter,4.666666667,17.79166667,1.04,Cut,0.46,1.435,0.75
Offensive,Strength,MSOE,166,Travis_Ballard,5.653846154,11.34615385,0.961,Transition,0.046,1.429,0.714
Offensive,Strength,MSOE,166,Travis_Ballard,5.653846154,11.34615385,0.961,Spot Up,0.17,1.115,0.52
Offensive,Strength,MSOE,166,Travis_Ballard,5.653846154,11.34615385,0.961,Offensive Rebounds (put backs),0.033,1.2,0.667
Offensive,Strength,MSOE,166,Travis_Ballard,5.653846154,11.34615385,0.961,Off Screen,0.078,1,0.5
Offensive,Strength,Roosevelt,179,Tomas_Cutts,1.5,4,0.75,Cut,0.25,1.333,0.667
Offensive,Strength,Roosevelt,179,Tomas_Cutts,1.5,4,0.75,Off Screen,0.083,3,1
Offensive,Strength,Roosevelt,179,Tomas_Cutts,1.5,4,0.75,Offensive Rebounds (put backs),0.083,2,1
Offensive,Strength,NorthPark,249,Toby_Marek,2.75,11.75,0.712,Transition,0.186,1,0.444
Offensive,Strength,NorthPark,249,Toby_Marek,2.75,11.75,0.712,Cut,0.085,1.4,0.6
Offensive,Strength,NorthPark,249,Toby_Marek,2.75,11.75,0.712,Off Screen,0.119,0.857,0.333
Offensive,Strength,NorthPark,249,Toby_Marek,2.75,11.75,0.712,Isolation,0.017,3,1
Offensive,Strength,Carthage,32,Tj_Best,1.25,7.6875,0.667,Transition,0.167,1.2,1
Offensive,Strength,Carthage,32,Tj_Best,1.25,7.6875,0.667,Miscellaneous,0.1,1,
Offensive,Strength,DominicanIL,81,Tim_Robertson,14.79166667,25.625,0.843,Cut,0.097,1.024,0.5
Offensive,Strength,DominicanIL,81,Tim_Robertson,14.79166667,25.625,0.843,Offensive Rebounds (put backs),0.03,1.308,0.636
Offensive,Strength,DominicanIL,81,Tim_Robertson,14.79166667,25.625,0.843,Isolation,0.081,0.914,0.448
Offensive,Strength,DominicanIL,81,Tim_Robertson,14.79166667,25.625,0.843,P&R Roll Man,0.078,0.971,0.414
Offensive,Strength,DominicanIL,81,Tim_Robertson,14.79166667,25.625,0.843,Transition,0.143,0.952,0.46
Offensive,Strength,DominicanIL,81,Tim_Robertson,14.79166667,25.625,0.843,P&R Ball Handler,0.021,0.889,0.4
Offensive,Strength,Fontbonne,117,Thomas_Ritter,7.1875,16.875,0.974,Post-Up,0.009,2,1
Offensive,Strength,Fontbonne,117,Thomas_Ritter,7.1875,16.875,0.974,Hand Off,0.061,1,0.333
Offensive,Strength,Fontbonne,117,Thomas_Ritter,7.1875,16.875,0.974,Cut,0.114,1.154,0.636
Offensive,Strength,Fontbonne,117,Thomas_Ritter,7.1875,16.875,0.974,Off Screen,0.14,1.25,0.583
Offensive,Strength,Fontbonne,117,Thomas_Ritter,7.1875,16.875,0.974,Transition,0.228,1.115,0.611
Offensive,Strength,Fontbonne,117,Thomas_Ritter,7.1875,16.875,0.974,Offensive Rebounds (put backs),0.044,1.2,0.5
Offensive,Strength,Kalamazoo,229,Thomas_Cook,1.1875,5.5625,0.528,Hand Off,0.028,2,1
Offensive,Strength,Kalamazoo,229,Thomas_Cook,1.1875,5.5625,0.528,Spot Up,0.389,0.714,0.308
Offensive,Strength,Kalamazoo,229,Thomas_Cook,1.1875,5.5625,0.528,Transition,0.083,0.667,1
Offensive,Strength,Kalamazoo,229,Thomas_Cook,1.1875,5.5625,0.528,Offensive Rebounds (put backs),0.139,0.6,0.333
Offensive,Strength,MSOE,165,Tegan_Miles,10.38461538,27.38461538,0.989,Isolation,0.015,1,0.667
Offensive,Strength,MSOE,165,Tegan_Miles,10.38461538,27.38461538,0.989,Cut,0.198,1.333,0.762
Offensive,Strength,MSOE,165,Tegan_Miles,10.38461538,27.38461538,0.989,Offensive Rebounds (put backs),0.077,1.286,0.733
Offensive,Strength,Rose-Hulman,297,Taylor_Heil,1,3.5,0.8,Offensive Rebounds (put backs),0.2,2,
Offensive,Strength,Rose-Hulman,297,Taylor_Heil,1,3.5,0.8,Spot Up,0.2,2,1
Offensive,Strength,Roosevelt,178,Tariq_Archibald,2,3,1,Transition,0.5,2,1
Offensive,Strength,UWPlatteville,268,Tanner_Hudziak,2.071428571,2.285714286,1.45,Spot Up,0.25,2.2,0.8
Offensive,Strength,UWPlatteville,268,Tanner_Hudziak,2.071428571,2.285714286,1.45,Cut,0.2,1.5,0.75
Offensive,Strength,UWPlatteville,268,Tanner_Hudziak,2.071428571,2.285714286,1.45,P&R Ball Handler,0.1,2.5,1
Offensive,Strength,UWPlatteville,268,Tanner_Hudziak,2.071428571,2.285714286,1.45,Off Screen,0.05,2,1
Offensive,Strength,UWPlatteville,268,Tanner_Hudziak,2.071428571,2.285714286,1.45,Isolation,0.05,3,1
