team_name,number_of_games,team_poss,opp_poss,off_adjustment_factor,def_adjustment_factor,Format,Type,player_id,player_name,average_pts,average_minutes,overall_average_ppp,element_name,percentage_of_time,type_ppp,field_goal_percentage
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,16,Ryan_Lowe,7.173913043,14.39130435,1.078,Transition,0.033,1.4,0.75
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,16,Ryan_Lowe,7.173913043,14.39130435,1.078,Offensive Rebounds (put backs),0.248,1.342,0.742
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,16,Ryan_Lowe,7.173913043,14.39130435,1.078,Cut,0.098,1.4,0.75
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,15,Robert_Ryan,3.56,18.04,0.659,Spot Up,0.523,0.812,0.352
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,15,Robert_Ryan,3.56,18.04,0.659,Transition,0.114,1.133,0.375
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,15,Robert_Ryan,3.56,18.04,0.659,Off Screen,0.023,0.667,0.333
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,15,Robert_Ryan,3.56,18.04,0.659,Cut,0.023,1.667,1
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,14,Quinton_Armstrong,8.434782609,16.91304348,0.961,Transition,0.054,1.727,0.9
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,14,Quinton_Armstrong,8.434782609,16.91304348,0.961,Cut,0.123,1,0.571
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,14,Quinton_Armstrong,8.434782609,16.91304348,0.961,Offensive Rebounds (put backs),0.137,1.214,0.636
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,14,Quinton_Armstrong,8.434782609,16.91304348,0.961,P&R Roll Man,0.015,1,0.333
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,13,Ojani_Echevarria,1.5,8.166666667,0.5,Spot Up,0.389,0.857,0.286
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,13,Ojani_Echevarria,1.5,8.166666667,0.5,Transition,0.167,1,0.5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,11,Nathaniel_Collins,8.5,19.2,0.941,Hand Off,0.054,1.5,0.667
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,11,Nathaniel_Collins,8.5,19.2,0.941,Transition,0.227,1.119,0.485
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,11,Nathaniel_Collins,8.5,19.2,0.941,Cut,0.016,1,0.5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,11,Nathaniel_Collins,8.5,19.2,0.941,Isolation,0.032,1.167,0.667
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,12,Nathan_Kellum,1.588235294,6.764705882,0.711,Cut,0.237,0.889,0.429
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,12,Nathan_Kellum,1.588235294,6.764705882,0.711,Spot Up,0.053,1,0.5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,12,Nathan_Kellum,1.588235294,6.764705882,0.711,Transition,0.132,1.2,0.6
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,12,Nathan_Kellum,1.588235294,6.764705882,0.711,Offensive Rebounds (put backs),0.105,1,0.5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,10,Juwan_Perry,5,11.92857143,0.972,Offensive Rebounds (put backs),0.069,1.4,1
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,10,Juwan_Perry,5,11.92857143,0.972,P&R Ball Handler,0.028,1.5,1
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,10,Juwan_Perry,5,11.92857143,0.972,Transition,0.208,1.133,0.545
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,10,Juwan_Perry,5,11.92857143,0.972,Cut,0.028,1,1
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,9,Jaylen_Fordham,6.52,18.48,0.792,Off Screen,0.088,0.895,0.438
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,9,Jaylen_Fordham,6.52,18.48,0.792,Spot Up,0.389,1.119,0.437
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,9,Jaylen_Fordham,6.52,18.48,0.792,Offensive Rebounds (put backs),0.046,0.8,0.429
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,7,Dylan_Bennett,2.947368421,14.84210526,0.908,Hand Off,0.015,2,1
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,7,Dylan_Bennett,2.947368421,14.84210526,0.908,Spot Up,0.662,1.023,0.349
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,6,Corey_Wheeler,13.13636364,23.63636364,0.964,Cut,0.042,1.462,0.7
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,6,Corey_Wheeler,13.13636364,23.63636364,0.964,P&R Ball Handler,0.091,1.143,0.579
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,6,Corey_Wheeler,13.13636364,23.63636364,0.964,Offensive Rebounds (put backs),0.068,1.429,0.684
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,6,Corey_Wheeler,13.13636364,23.63636364,0.964,Transition,0.182,1.179,0.488
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,5,Caden_Ebeling,5.48,14.84,0.792,Transition,0.071,1.077,0.455
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,5,Caden_Ebeling,5.48,14.84,0.792,Offensive Rebounds (put backs),0.142,1.115,0.474
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,5,Caden_Ebeling,5.48,14.84,0.792,Cut,0.131,1.25,0.609
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,4,Austin_Thompson,0.4,2.6,0.667,Transition,0.333,2,
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,3,Arshawn_Parker,4.777777778,10.66666667,0.905,Transition,0.211,1.15,0.444
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,3,Arshawn_Parker,4.777777778,10.66666667,0.905,Spot Up,0.4,0.974,0.361
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,3,Arshawn_Parker,4.777777778,10.66666667,0.905,Isolation,0.032,1.333,0.5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,2,Aquavius_Burks,5.869565217,17.34782609,0.772,Transition,0.103,0.895,0.429
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Strength,2,Aquavius_Burks,5.869565217,17.34782609,0.772,P&R Ball Handler,0.011,1.5,0.5
