Format,Type,team_name,player_id,player_name,average_pts,average_minutes,overall_average_ppp,element_name,percentage_of_time,type_ppp,field_goal_percentage
Offensive,Weakness,WheatonIL,211,Zack_Kvam,2.576923077,16.92307692,0.736,Cut,0.077,0.714,0.4
Offensive,Weakness,WheatonIL,211,Zack_Kvam,2.576923077,16.92307692,0.736,Miscellaneous,0.253,0.174,
Offensive,Weakness,WheatonIL,211,Zack_Kvam,2.576923077,16.92307692,0.736,Isolation,0.055,0,0
Offensive,Weakness,WheatonIL,211,Zack_Kvam,2.576923077,16.92307692,0.736,P&R Ball Handler,0.055,0,0
Offensive,Weakness,GustavusAdolphus,312,Zach_Bloemker,6.047619048,15.80952381,0.777,Hand Off,0.038,0.667,0.2
Offensive,Weakness,GustavusAdolphus,312,Zach_Bloemker,6.047619048,15.80952381,0.777,Miscellaneous,0.064,0.7,0
Offensive,Weakness,GustavusAdolphus,312,Zach_Bloemker,6.047619048,15.80952381,0.777,Off Screen,0.102,0.625,0.333
Offensive,Weakness,GustavusAdolphus,312,Zach_Bloemker,6.047619048,15.80952381,0.777,Isolation,0.153,0.458,0.2
Offensive,Weakness,GustavusAdolphus,312,Zach_Bloemker,6.047619048,15.80952381,0.777,Transition,0.108,0.647,0.556
Offensive,Weakness,GustavusAdolphus,312,Zach_Bloemker,6.047619048,15.80952381,0.777,P&R Ball Handler,0.025,0.75,0.5
Offensive,Weakness,WheatonIL,212,Zac_Holman,1.090909091,5.363636364,0.765,Isolation,0.059,0,0
Offensive,Weakness,WheatonIL,212,Zac_Holman,1.090909091,5.363636364,0.765,Transition,0.059,0,0
Offensive,Weakness,WheatonIL,212,Zac_Holman,1.090909091,5.363636364,0.765,Miscellaneous,0.118,0,
Offensive,Weakness,WheatonIL,212,Zac_Holman,1.090909091,5.363636364,0.765,Off Screen,0.176,0,0
Offensive,Weakness,NorthPark,250,Vegard_Tangen,3.695652174,15.91304348,0.842,P&R Roll Man,0.119,0.5,0.273
Offensive,Weakness,NorthPark,250,Vegard_Tangen,3.695652174,15.91304348,0.842,Miscellaneous,0.079,0,
Offensive,Weakness,NorthPark,250,Vegard_Tangen,3.695652174,15.91304348,0.842,Isolation,0.079,0.625,0.25
Offensive,Weakness,NorthPark,250,Vegard_Tangen,3.695652174,15.91304348,0.842,Cut,0.129,0.615,0.333
